diff_median_sample,file,gnss_max,gnss_median,gnss_min,gnss_p01,gnss_p99,lidar_max,lidar_min,name,point_count,pos_cover_rate,pulse_max,pulse_min,reason,seq,size_bytes,status,total_pulses
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00110_20260510190954.h5,40193.900353924,40192.39452122,40190.897533832,40190.927849992,40193.869555764,40211.900353924,40208.897533832,L1_cap_00110_20260510190954.h5,2328862,1.0,1488620.0,1.0,,110,281143652,OK,1488620.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00111_20260510190957.h5,40196.902070032,40195.39992134,40193.900355924,40193.927082868,40196.872019072,40214.902070032,40211.900355924,L1_cap_00111_20260510190957.h5,2326241,1.0,1488039.0,1.0,,111,279025164,OK,1488039.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00112_20260510191000.h5,40199.903772128,40198.406680476,40196.902072032,40196.933084856,40199.874973312,40217.903772128,40214.902072032,L1_cap_00112_20260510191000.h5,2335234,1.0,1488039.0,1.0,,112,282836808,OK,1488039.0
1.0,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00113_20260510191003.h5,1488039.0,742260.0,1.0,15338.439999999999,1473040.56,1488057.0,19.0,L1_cap_00113_20260510191003.h5,2332645,0.0010421645814086584,1488039.0,1.0,GNSS_SEC_CH1 appears to contain pulse index/count values,113,277585440,REPAIR_CANDIDATE,1488039.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00114_20260510191006.h5,40205.906686396,40204.403146684,40202.90557426,40202.936836964,40205.876109696,40223.906686396,40220.90557426,L1_cap_00114_20260510191006.h5,2329228,1.0,1487766.0,1.0,,114,282002640,OK,1487766.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00115_20260510191009.h5,40208.908654552,40207.40710384,40205.906688396,40205.9338327,40208.881886248004,40226.908654552,40223.906688396,L1_cap_00115_20260510191009.h5,2328409,1.0,1488109.0,1.0,,115,282131620,OK,1488109.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00116_20260510191012.h5,40211.889370592,40210.364461744,40208.908656552,40208.938715988,40211.851327112,40229.889370592,40226.908656552,L1_cap_00116_20260510191012.h5,2254465,1.0,1445549.0,1.0,,116,272849084,OK,1445549.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00117_20260510191015.h5,40214.91180684,40213.400763088,40211.889372592,40211.927796136,40214.880050672,40232.91180684,40229.889372592,L1_cap_00117_20260510191015.h5,2320568,1.0,1494801.0,1.0,,117,282008244,OK,1494801.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00118_20260510191018.h5,40217.913565012,40216.414985304,40214.91180884,40214.940432992,40217.883877156004,40235.913565012,40232.91180884,L1_cap_00118_20260510191018.h5,2313486,1.0,1488025.0,1.0,,118,279826132,OK,1488025.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00119_20260510191021.h5,40220.91592522,40219.41253846,40217.913567012,40217.944233176,40220.885443256004,40238.91592522,40235.913567012,L1_cap_00119_20260510191021.h5,2326891,1.0,1488312.0,1.0,,119,279726204,OK,1488312.0
